port (18 B);sec (18 B);;;chauve (18 B);;sillon (18 B);frais (18 B);;;large (18 B);;regard (18 B);clair (B);;;de bouc (B);;tresses (18 B);d'or (B);;;;;;;;;brûlant (18 B);;;droit (B);;;en galoche (B);;;de taureau (B);;;;;posture (18 B);grande (18 );;;voûté (18 B);;;;;;menaçant (18 );;;;;;maigre (18 B);;;de fer (18 B);;;;;;rond (B);quille (B);;;motte (18);;fluet (B);;;diaphane (B);;;étincelant;;;cassée (B);
stature (18 B);svelte (18 B);;;chiffonné (18 );;;gros (B);;;magnifique (B);;yeux (18 B);en amande (B);;;de sapeur (18 B);;toison (18 ;doré (B);;;;;;;;;charmant (18 B);;;écrasé (18 B);;;fin (B);;;faiblement azuré (B);;;;;sein (18 B);large (18 B);;;;;;;;;plein (18 B);;;;;;nerveux (18 B);;;débile (B);;;;;;saillant (B);;;;pétard;;grand (B);;;doux (18 B);;;fiévreux (B);;;chevrotant (B);
;trapu (18 B);;;décharné (18);;;haut (18 B);;;neigeux (B);;;enchâssés (B);;;en éventail (B);;;ébène (18 B);;;;;;;;;contourné (B);;;en vrille (B);;;grand (B);;;flexible (B);;;;;taille (18 B);magnifique (B);;;;;;;;;pointu (B);;;;;;nu (18 B);;;décharné (18 B);;;;;;sec (B);;;;popotin;;gras (B);;;fin (18 B);;;fin (B);;;consolant (B);
;vieux (18 B);;;décomposé (18 B);;;incliné (18 B);;;noble (18 B);;;enfoncé (18 B);;;épais (18 B);;;en bandeaux (B);;;;;;;;;cramoisi (18);;;fin (18 B);;;gras (B);;;frais (B);;;;;thorax (B);palpitant (18 B);;;;;;;;;proéminent (B);;;;;;pendant (18 B);;;déganté (B);;;;;;;;;;postérieur (18 B);;gros (B);;;flétri (B);;;frais (18);;;creuse (18 B);
;voûté (18 B);;;défait (18 B);;;ingénu (B);;;pâle (B);;;éteint (18 B);;;fait (B);;;épars (18 B);;;;;;;;;dédaigneux (18 B);;;grêlé (B);;;long;;;grenu (B);;;;;torse (B);prononcé (B);;;;;;;;;protubérant (B);;;;;;sec (18 B);;;délicat (18 B);;;;;;;;;;;;joli (B);;;frais  (18 B);;;hollandaise (B);;;de harengère (B);
;;;;défiguré (18 B);;;jaune (18 B);;;petit (B);;;étincelant (18 B);;;fauve (B);;;frisé (18 B);;;;;;;;;délié (B);;;gros  ;;;petit (B);;;joli (B);;;;;tronc (18);puissante (B);;;;;;;;;pyriforme/piriforme (B);;;;;;tendu (18 B);;;doux (18 B);;;;;;;;;;;;mignon (18 B);;;froid (B);;;mou (B);;;délicieux (B);
;;;;délicieux (18 B);;;large (18 B);;;plein (B);;;farouche (18 B);;;fourni (18 B);;;gras (18 B);;;;;;;;;doux (18 B);;;gros du bout (B);;;plat (B);;;large (B);;;;;;riche (B);;;;;;;;;rond (B);;;;;;tremblant (18 B);;;épais (B);;;;;;;;;;;;mince (B);;;gris (B);;;naturel (18);;;doux (18 B);
;;;;douce (18 B);;;longue (B);;;polonais (B);;;fixe (18 B);;;frétillant (B);;;grêle (B);;;;;;;;;édenté (B);;;hébraïque (B);;;pointu (18 B);;;long (B);;;;;;rond (18);;;;;;;;;rondelet (B);;;;;;;;;froid (18 B);;;;;;;;;;;;musculeux (B);;;hâlé (B);;;olivâtre (B);;;éloquent (18 B);
;;;;douceâtre (B);;;magnifique (B);;;puissant (B);;;furieux (18);;;grêle (B);;;lissé (B);;;;;;;;;faux (B);;;impérieux (B);;;ravé de rides (B);;;majestueux (B);;;;;;royal (B);;;;;;;;;saillant (B);;;;;;;;;gras (B);;;;;;;;;;;;petit (B);;;jaunâtre (B);;;pâle (B);;;ému (18 B);
;;;;doucereux (B);;;maigre (18 B);;;rêveur (B);;;gris (18 B);;;grisonnant (B);;;long (18 B);;;;;;;;;frais (18 B);;;impertinent (B);;;relevé (B);;;mou (B);;;;;;serrée (18 B);;;;;;;;;silénique (B);;;;;;;;;hâlé;;;;;;;;;;;;recourbé (B);;;lisse (18 B);;;potelé (18);;;enfantin (18 B);
;;;;dur (18 B);;;naïf (B);;;ridé (B);;;gros (18 B);;;hérissé (18 B);;;luisant (B);;;;;;;;;gracieux (18 B);;;long;;;triple (B);;;plein de noblesse (B);;;;;;souple (18 B);;;;;;;;;ventripotent (B);;;;;;;;;joli (18 B);;;;;;;;;;;;sec (B);;;marbré (B);;;sanguinolant ( B);;;enrouée (B);
;;;;échauffé (18 B);;;noble (18 B);;;sublime (B);;;hagard (18 B);;;joint (18) ;;;noir (18 B);;;;;;;;;grand (18 B);;;mince (B);;;;;;protubérant (B);;;;;;svelte (18 B);;;;;;;;;;;;;;;;;;large (B);;;;;;;;;;;;;;;moite (B);;;suave (B);;;éteint (18 B);
;;;;enfantin (B);;;pâle (B);;;superbe (B);;;hébété (B);;;long (18 B);;;pelé (18 B);;;;;;;;;grosses (18 B);;;moqueur (B);;;;;;ridé (B);;;;;;tumultueux (B);;;;;;;;;;;;;;;;;;long (18 B);;;;;;;;;;;;;;;molle (18 B);;;tâche de rousseur (B);;;étouffé (18 B);
;;;;exténué (18 );;;pelé (B);;;vaste (18 B);;;intelligent (B);;;noir (18 B);;;pommadé (B);;;;;;;;;lippues (B);;;ovales (B);;;;;;rond (B);;;;;;un (18 B);;;;;;;;;;;;;;;;;;moite (B);;;;;;;;;;;;;;;nuancé de veines (B);;;vigoureux (B);;;étranglé (B);
;;;;fangeux (B);;;petit (18 B);;;volontaire (B);;;large (B);;;rare (B);;;poudré (18 B);;;;;;;;;mince (18 B) ;;;pincé (B);;;;;;rouge   (B);;;;;;vigoureux (B);;;;;;;;;;;;;;;;;;mou (B);;;;;;;;;;;;;;;parfumé (B);;;;;;faible (18 B);
;;;;fatigué (18, B);;;plat (B);;;;;;longue (18 B);;;rasé (18 B);;;rare (B);;;;;;;;;mouvantes (B);;;plein de gibbosités (B);;;;;;sillonné (B);;;;;;;;;;;;;;;;;;;;;;;;osseux (B);;;;;;;;;;;;;;;presque olivâtre (B);;;;;;flûté (18 B);
;;;;flétri (18 B);;;poudré (B);;;;;;mourant (18 );;;recourbé (18 B);;;roux (18 B);;;;;;;;;pâle (18 B);;;pointu (B);;;;;;triomphant (B);;;;;;;;;;;;;;;;;;;;;;;;parfumé (B);;;;;;;;;;;;;;;pulpeux (B);;;;;;froid (B);
;;;;frais (B);;;rebondi (18) ;;;;;;noir (18 B);;;sale (18 B);;;tondu (18 );;;;;;;;;pâteux (B);;;recourbé (B);;;;;;un (B);;;;;;;;;;;;;;;;;;;;;;;;pendant (B);;;;;;;;;;;;;;;ridé (18 B);;;;;;grave (B);
;;;;fripon (18 );;;rougeaud (B);;;;;;oblique (18);;;taillée en pointe (B);;;touffu (B);;;;;;;;;plate (18);;;rentré (B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;petit (18 B);;;;;;;;;;;;;;;rude (18 B);;;;;;gros (18 B);
;;;;hâlé (18 );;;rubicond (18 B);;;;;;pâle (B);;;très fournie (B);;;tressé (B);;;;;;;;;pur (18 B);;;retroussé (18 B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;potelé (18 B);;;;;;;;;;;;;;;rugueux (B);;;;;;gutturale (B);
;;;;jaune (18 B);;;sublime (B);;;;;;pénétrant (18 B);;;vilain (18);;;;;;;;;;;;rouge vif (B);;;romain (B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ridé (18 B);;;;;;;;;;;;;;;satiné (18 B);;;;;;harmonieux (18 B);
;;;;livide (18 B);;;superbe (B) ;;;;;;pensif (B);;;;;;;;;;;;;;;rouges (B);;;rouge (B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sec (B);;;;;;;;;;;;;;;sec (18 B);;;;;;inextinguible (B);
;;;;maigre (18 B);;;virginal (18);;;;;;pressant (18);;;;;;;;;;;;;;;sardonique (18 B);;;saillant (18 B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tremblant (18 B);;;;;;;;;;;;;;;souple ;;;;;;mélancolique (18 B);
;;;;noble (18 B);;;;;;;;;pur (18 B);;;;;;;;;;;;;;;serré (18 B);;;taillé en pointe (B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;suave (B);;;;;;mourant (18 B);
;;;;ovale (18 B);;;;;;;;;rêveur;;;;;;;;;;;;;;;sinueux (B);;;velouté (B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tanné (18 B);;;;;;petit (B);
;;;;pâle (18 B);;;;;;;;;saillant (18 B);;;;;;;;;;;;;;;triste (B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tendre (18 B);;;;;;profond (B);
;;;;pelé (18 B);;;;;;;;;sanguinaire (18);;;;;;;;;;;;;;;vermeille (18 B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;transparent (18 B);;;;;;pure (B);
;;;;poli (B);;;;;;;;;scintillant (B);;;;;;;;;;;;;;;violacé (B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vérolé;;;;;;rusée (B);
;;;;ridé (18 B);;;;;;;;;sombre (18 B);;;;;;;;;;;;;;;voluptueux (18 B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sec (18 B);
;;;;rieur (18 B);;;;;;;;;sournois (B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sifflant (B);
;;;;rond (18 B);;;;;;;;;soyeux (B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sourd (18 B);
;;;;rose (18 B);;;;;;;;;tendre (18 B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;strident (B);
;;;;stupide (18 B);;;;;;;;;terne (18 B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sublime (18 B);
;;;;tendre (18);;;;;;;;;transparent (B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tonitruante;
;;;;vénérable (18 B);;;;;;;;;vairon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tonnant (18 B);
;;;;;;;;;;;;;venimeux (B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vibrant (B);
;;;;;;;;;;;;;vert de mer (B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sépulcrale (18 B);
;;;;;;;;;;;;;vif (18 B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
